,Start,End,Duration,# Trades,# Different Stocks,Win Rate [%],Avg. Trade [%],Median Trade [%],Avg. Win [%],Median Win [%],Avg. Loss [%],Median Loss [%],Total Return [%],Stock
824,2010-04-14,2020-10-22,3844 days,287,1,35.88850174216028,-1.0981881533101043,-3.64,9.772912621359223,8.81,-7.183641304347826,-6.1899999999999995,-315.17999999999995,PRGX
1070,2010-01-06,2020-12-14,3995 days,409,1,30.80684596577017,-0.7714180929095354,-1.72,3.9686507936507938,2.5199999999999996,-2.8920567375886517,-2.72,-315.51,VZ
308,2010-01-22,2020-12-18,3983 days,377,1,33.95225464190981,-0.8419098143236068,-3.28,10.023906249999996,5.465,-6.453467741935488,-5.84,-317.4,DRQ
681,2010-01-05,2020-12-18,4000 days,388,1,31.185567010309278,-0.8233762886597933,-1.9699999999999998,6.385123966942148,3.26,-4.09014981273408,-3.28,-319.47,MTB
115,2010-01-19,2020-11-16,3954 days,387,1,34.366925064599485,-0.8259948320413433,-2.92,9.024210526315787,6.29,-5.983779527559053,-5.3,-319.66,BECN
310,2010-01-05,2020-12-11,3993 days,317,1,30.5993690851735,-1.0133753943217665,-3.62,9.510000000000002,7.63,-5.679041095890411,-5.49,-321.24,DSPG
537,2010-01-11,2020-11-16,3962 days,352,1,32.67045454545455,-0.9175284090909095,-2.13,5.53782608695652,4.85,-4.049873417721516,-3.81,-322.97,JBHT
902,2010-01-06,2020-12-30,4011 days,405,1,37.28395061728395,-0.7984197530864199,-3.29,9.937086092715237,7.15,-7.180551181102364,-6.975,-323.36,SGEN
476,2010-01-21,2020-11-09,3945 days,416,1,35.81730769230769,-0.7831490384615389,-2.145,6.812013422818791,4.64,-5.021647940074906,-4.51,-325.78999999999996,HPQ
159,2010-01-04,2020-10-05,3927 days,410,1,33.90243902439025,-0.797195121951219,-2.505,7.5097122302158255,5.3,-5.076666666666668,-4.28,-326.84999999999997,CATY
962,2010-02-10,2020-10-23,3908 days,266,1,30.82706766917293,-1.2301127819548872,-2.125,4.349146341463416,3.0149999999999997,-3.736830601092896,-3.13,-327.21000000000004,TBNK
886,2010-01-21,2020-11-09,3945 days,344,1,34.01162790697674,-0.9558139534883718,-2.12,6.598888888888887,4.61,-4.871106194690267,-4.1899999999999995,-328.8,SBNY
381,2010-01-04,2020-10-05,3927 days,363,1,35.26170798898072,-0.9066391184573005,-2.42,6.841406249999997,5.154999999999999,-5.126851063829786,-4.48,-329.11,FFIV
213,2010-01-08,2020-12-03,3982 days,406,1,32.51231527093596,-0.8121921182266004,-2.475,8.480681818181818,4.675000000000001,-5.289051094890508,-4.275,-329.75,CNK
641,2010-01-08,2020-10-06,3924 days,362,1,35.35911602209944,-0.9111049723756905,-3.16,10.095156250000008,6.83,-6.931623931623932,-6.17,-329.82,MEI
33,2010-01-15,2020-09-24,3905 days,320,1,35.9375,-1.0307500000000007,-3.4699999999999998,11.410434782608695,7.75,-8.088866995073884,-6.92,-329.84,AGYS
386,2010-01-04,2020-11-09,3962 days,409,1,33.98533007334964,-0.8083374083129587,-1.6,4.056978417266187,2.71,-3.3130740740740734,-3.0149999999999997,-330.60999999999996,FISV
989,2010-01-07,2020-12-09,3989 days,352,1,32.95454545454545,-0.9507102272727256,-3.5949999999999998,10.221551724137926,8.18,-6.442161016949152,-5.625,-334.65,TOL
